twenty-third	twenty-third	adjective
twenty-third	twenty-third	noun
twenty-fourth	twenty-fourth	adjective
twenty-fourth	twenty-fourth	noun
twenty-fifth	twenty-fifth	adjective
twenty-fifth	twenty-fifth	noun
twenty-sixth	twenty-sixth	adjective
twenty-sixth	twenty-sixth	noun
twenty-seventh	twenty-seventh	adjective
twenty-seventh	twenty-seventh	noun
twenty-eighth	twenty-eighth	adjective
twenty-eighth	twenty-eighth	noun
twenty-ninth	twenty-ninth	adjective
twenty-ninth	twenty-ninth	noun
thirtieth	thirtieth	adjective
thirtieth	thirtieth	noun
trout	trout	noun
trout	trout	noun:plural
thousandth	thousandth	adjective
thousandth	thousandth	noun
thousandths	thousandth	noun:plural
Tanach	Tanach	proper noun
translator	translator	noun
translators	translator	noun:plural
terp	terp	noun
Tuvaluan	Tuvaluan	noun
Tuvaluan	Tuvaluan	adjective
Tunisian	Tunisian	noun
Tunisian	Tunisian	adjective
turkmen	turkmen	noun
turkmen	turkmen	adjective
tajik	tajik	noun
tajik	tajik	adjective
triskaidekaphobia	triskaidekaphobia	noun
togolese	togolese	noun
togolese	togolese	adjective
tongan	tongan	noun
tongan	tongan	adjective
Telugu	Telugu	noun
Taranto	Taranto	proper noun
Teramo	Teramo	proper noun
Terni	Terni	proper noun
Trapani	Trapani	proper noun
Trento	Trento	proper noun
treviso	treviso	proper noun
Trieste	Trieste	proper noun
tie	tie	noun
tie	tie	verb:simple_present+
ties	tie	verb:simple_present+
tied	tie	verb:simple_past+
tied	tie	verb:past_participle+
tying	tie	verb:present_participle+
thesprotian	thesprotian	noun
Thessaly	Thessaly	noun
thrace	thrace	noun
trombonist	trombonist	noun
tokelauan	tokelauan	noun
tokelauan	tokelauan	adjective
tanzanian	tanzanian	noun
tanzanian	tanzanian	adjective
trademark	trademark	noun
trademarks	trademark	noun:plural
trademark	trademark	verb:simple_present+transitive
trademarks	trademark	verb:simple_present+transitive
trademarked	trademark	verb:simple_past+transitive
trademarked	trademark	verb:past_participle+transitive
trademarking	trademark	verb:present_participle+transitive
tesla	tesla	noun
turn	turn	verb:simple_present+
turns	turn	verb:simple_present+
turned	turn	verb:simple_past+
turned	turn	verb:past_participle+
turning	turn	verb:present_participle+
turning	turn	verb:present_participle
turn	turn	noun
turnover	turnover	noun
turnovers	turnover	noun:plural
tok	tok	noun
tok	tok	verb:simple_present+intransitive
toks	tok	verb:simple_present+intransitive
???	tok	verb:simple_past+intransitive
???	tok	verb:past_participle+intransitive
???	tok	verb:present_participle+intransitive
tok	tok	noun
trial	trial	noun
trials	trial	noun:plural
trial	trial	adjective
tuberculosis	tuberculosis	noun
turnaround	turnaround	noun
turnout	turnout	noun
tricycle	tricycle	noun
tricyclist	tricyclist	noun
thermologist	thermologist	noun
technician	technician	noun
tern	tern	noun
technique	technique	noun
techniques	technique	noun:plural
transportability	transportability	noun
tuna	tuna	noun
tunas	tuna	noun:plural
tyre	tyre	noun
tire	tire	noun
tire	tire	verb:simple_present+
tires	tire	verb:simple_present+
tired	tire	verb:simple_past+
tired	tire	verb:past_participle+
tiring	tire	verb:present_participle+
Turku	Turku	proper noun
Tampere	Tampere	proper noun
Thuringia	Thuringia	proper noun
toxic	toxic	adjective
toxicity	toxicity	noun
toxin	toxin	noun
traim	traim	verb:simple_present+transitive
traims	traim	verb:simple_present+transitive
traimed	traim	verb:simple_past+transitive
traimed	traim	verb:past_participle+transitive
traiming	traim	verb:present_participle+transitive
template	template	noun
templates	template	noun:plural
type	type	noun
types	type	noun:plural
type	type	verb:simple_present+
types	type	verb:simple_present+
typed	type	verb:simple_past+
typed	type	verb:past_participle+
typing	type	verb:present_participle+
tea	tea	noun
Thira	Thira	proper noun
Thessaloniki	Thessaloniki	proper noun
Trikala	Trikala	proper noun
transport	transport	verb:simple_present+transitive
transports	transport	verb:simple_present+transitive
transported	transport	verb:simple_past+transitive
transported	transport	verb:past_participle+transitive
transporting	transport	verb:present_participle+transitive
transport	transport	noun
thong	thong	noun
thongs	thong	noun:plural
trust	trust	noun
trust	trust	adjective
trust	trust	verb:simple_present+transitive
trusts	trust	verb:simple_present+transitive
trusted	trust	verb:simple_past+transitive
trusted	trust	verb:past_participle+transitive
trusting	trust	verb:present_participle+transitive
trusting	trust	verb:present_participle
trust	trust	verb:simple_present+intransitive
trusts	trust	verb:simple_present+intransitive
trusted	trust	verb:simple_past+intransitive
trusted	trust	verb:past_participle+intransitive
trusting	trust	verb:present_participle+intransitive
tobacco	tobacco	noun
two-faced	two-faced	adjective
tsar	tsar	noun
tsars	tsar	noun:plural
tzar	tzar	noun
tod	tod	noun
torrid	torrid	adjective
turf	turf	noun
turfs	turf	noun:plural
turf	turf	verb:simple_present+
turfs	turf	verb:simple_present+
turfed	turf	verb:simple_past+
turfed	turf	verb:past_participle+
turfing	turf	verb:present_participle+
tenet	tenet	noun
triannually	triannually	adverbe
tricentennial	tricentennial	adverbe
trimillennial	trimillennial	adverbe
thief	thief	noun
toad-in-the-hole	toad-in-the-hole	noun
toad-in-the-holes	toad-in-the-hole	noun:plural
timber	timber	noun
timbers	timber	noun:plural
timber	timber	interjection
timber	timber	noun
timbre	timbre	noun
Tamil	Tamil	noun
Tamil	Tamil	adjective
trunk	trunk	noun
truck	truck	noun
trucks	truck	noun:plural
truck	truck	verb:simple_present+intransitive
trucks	truck	verb:simple_present+intransitive
trucked	truck	verb:simple_past+intransitive
trucked	truck	verb:past_participle+intransitive
trucking	truck	verb:present_participle+intransitive
typhoon	typhoon	noun
tarantula	tarantula	noun
trucker	trucker	noun
tableau	tableau	noun
tableaus	tableau	noun:plural
thesis	thesis	noun
thesis	thesis	noun
theses	theses	noun
theses	theses	noun
torso	torso	noun
torsos	torso	noun:plural
table	table	noun
tables	table	noun:plural
table	table	verb:simple_present+
tables	table	verb:simple_present+
